index	inventory	page	iso-639	iso-15294	comments	url
70	1616	453	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0453
71	1616	454	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0454
72	1616	455	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0455
73	1616	456	si,nl	348,215	Dutch-Singhalese Grammar	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1616_0456
74	1632	360	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0360
75	1632	361	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0361
76	1632	362	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0362
77	1632	363	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0363
78	1632	364	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0364
79	1632	365	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0365
80	1632	366	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0366
81	1632	367	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0367
82	1632	368	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0368
83	1632	369	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0369
84	1632	370	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0370
85	1632	371	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0371
86	1632	372	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0372
87	1632	373	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0373
88	1632	374	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0374
89	1632	375	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0375
90	1632	376	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0376
91	1632	377	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0377
92	1632	378	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0378
93	1632	379	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0379
94	1632	380	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0380
95	1632	381	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0381
96	1632	382	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0382
97	1632	383	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0383
98	1632	384	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0384
99	1632	385	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0385
100	1632	386	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0386
101	1632	387	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0387
102	1632	388	si,nl	348,215	Singhalese-Dutch Samples	https://transcriptions.globalise.huygens.knaw.nl/detail/urn:globalise:NL-HaNA_1.04.02_1632_0388
